date,close_price
2022-04-01,174.3100
2022-03-31,174.6100
2022-03-30,177.7700
2022-03-29,178.9600
2022-03-28,175.6000
2022-03-25,174.7200
2022-03-24,174.0700
2022-03-23,170.2100
2022-03-22,168.8200
2022-03-21,165.3800
2022-03-18,163.9800
2022-03-17,160.6200
2022-03-16,159.5900
2022-03-15,155.0900
2022-03-14,150.6200
2022-03-11,154.7300
2022-03-10,158.5200
2022-03-09,162.9500
2022-03-08,157.4400
2022-03-07,159.3000
2022-03-04,163.1700
2022-03-03,166.2300
2022-03-02,166.5600
2022-03-01,163.2000
2022-02-28,165.1200
2022-02-25,164.8500
2022-02-24,162.7400
2022-02-23,160.0700
2022-02-22,164.3200
2022-02-18,167.3000
2022-02-17,168.8800
2022-02-16,172.5500
2022-02-15,172.7900
2022-02-14,168.8800
2022-02-11,168.6400
2022-02-10,172.1200
2022-02-09,176.2800
2022-02-08,174.8300
2022-02-07,171.6600
2022-02-04,172.3900
2022-02-03,172.9000
2022-02-02,175.8400
2022-02-01,174.6100
2022-01-31,174.7800
2022-01-28,170.3300
2022-01-27,159.2200
2022-01-26,159.6900
2022-01-25,159.7800
2022-01-24,161.6200
2022-01-21,162.4100
2022-01-20,164.5100
2022-01-19,166.2300
2022-01-18,169.8000
2022-01-14,173.0700
2022-01-13,172.1900
2022-01-12,175.5300
2022-01-11,175.0800
2022-01-10,172.1900
2022-01-07,172.1700
2022-01-06,172.0000
2022-01-05,174.9200
2022-01-04,179.7000
2022-01-03,182.0100
2021-12-31,177.5700
2021-12-30,178.2000
2021-12-29,179.3800
2021-12-28,179.2900
2021-12-27,180.3300
2021-12-23,176.2800
2021-12-22,175.6400
2021-12-21,172.9900
2021-12-20,169.7500
2021-12-17,171.1400
2021-12-16,172.2600
2021-12-15,179.3000
2021-12-14,174.3300
2021-12-13,175.7400
2021-12-10,179.4500
2021-12-09,174.5600
2021-12-08,175.0800
2021-12-07,171.1800
2021-12-06,165.3200
2021-12-03,161.8400
2021-12-02,163.7600
2021-12-01,164.7700
2021-11-30,165.3000
2021-11-29,160.2400
2021-11-26,156.8100
2021-11-24,161.9400
2021-11-23,161.4100
2021-11-22,161.0200
2021-11-19,160.5500
2021-11-18,157.8700
2021-11-17,153.4900
2021-11-16,151.0000
2021-11-15,150.0000
2021-11-12,149.9900
2021-11-11,147.8700
2021-11-10,147.9200
2021-11-09,150.8100
