date,close_price
2022-05-27,759.6300
2022-05-26,707.7300
2022-05-25,658.8000
2022-05-24,628.1600
2022-05-23,674.9000
2022-05-20,663.9000
2022-05-19,709.4200
2022-05-18,709.8100
2022-05-17,761.6100
2022-05-16,724.3700
2022-05-13,769.5900
2022-05-12,728.0000
2022-05-11,734.0000
2022-05-10,800.0400
2022-05-09,787.1100
2022-05-06,865.6500
2022-05-05,873.2800
2022-05-04,952.6200
2022-05-03,909.2500
2022-05-02,902.9400
2022-04-29,870.7600
2022-04-28,877.5100
2022-04-27,881.5100
2022-04-26,876.4200
2022-04-25,998.0200
2022-04-22,1005.0500
2022-04-21,1008.7800
2022-04-20,977.2000
2022-04-19,1028.1500
2022-04-18,1004.2900
2022-04-14,985.0000
2022-04-13,1022.3700
2022-04-12,986.9500
2022-04-11,975.9300
2022-04-08,1025.4900
2022-04-07,1057.2600
2022-04-06,1045.7600
2022-04-05,1091.2600
2022-04-04,1145.4500
2022-04-01,1084.5900
2022-03-31,1077.6000
2022-03-30,1093.9900
2022-03-29,1099.5700
2022-03-28,1091.8400
2022-03-25,1010.6400
2022-03-24,1013.9200
2022-03-23,999.1100
2022-03-22,993.9800
2022-03-21,921.1600
2022-03-18,905.3900
2022-03-17,871.6000
2022-03-16,840.2300
2022-03-15,801.8900
2022-03-14,766.3700
2022-03-11,795.3500
2022-03-10,838.3000
2022-03-09,858.9700
2022-03-08,824.4000
2022-03-07,804.5800
2022-03-04,838.2900
2022-03-03,839.2900
2022-03-02,879.8900
2022-03-01,864.3700
2022-02-28,870.4300
2022-02-25,809.8700
2022-02-24,800.7700
2022-02-23,764.0400
2022-02-22,821.5300
2022-02-18,856.9800
2022-02-17,876.3500
2022-02-16,923.3900
2022-02-15,922.4300
2022-02-14,875.7600
2022-02-11,860.0000
2022-02-10,904.5500
2022-02-09,932.0000
2022-02-08,922.0000
2022-02-07,907.3400
2022-02-04,923.3200
2022-02-03,891.1400
2022-02-02,905.6600
2022-02-01,931.2500
2022-01-31,936.7200
2022-01-28,846.3500
2022-01-27,829.1000
2022-01-26,937.4100
2022-01-25,918.4000
2022-01-24,930.0000
2022-01-21,943.9000
2022-01-20,996.2700
2022-01-19,995.6500
2022-01-18,1030.5100
2022-01-14,1049.6100
2022-01-13,1031.5600
2022-01-12,1106.2200
2022-01-11,1064.4000
2022-01-10,1058.1200
2022-01-07,1026.9600
2022-01-06,1064.7000
2022-01-05,1088.1200
